Peer Review,Value,Lower Bound,Upper Bound,Age Range,Country,Location,Start Date,End Date,Published Date,Source
No,0.11,Unspecified,Unspecified,Unspecified,Philippines,Unspecified,Unspecified,16-04-2020,26-04-2020,Romero-Severson E. et al.
No,0.28,Unspecified,Unspecified,Unspecified,Poland,Unspecified,31-12-2019,Unspecified,26-04-2020,Romero-Severson E. et al.
No,0.01,Unspecified,Unspecified,Unspecified,Poland,Unspecified,Unspecified,16-04-2020,26-04-2020,Romero-Severson E. et al.
No,0.5,Unspecified,Unspecified,Unspecified,Portugal,Unspecified,31-12-2019,Unspecified,26-04-2020,Romero-Severson E. et al.
No,0.01,Unspecified,Unspecified,Unspecified,Portugal,Unspecified,Unspecified,16-04-2020,26-04-2020,Romero-Severson E. et al.
No,0.06,Unspecified,Unspecified,Unspecified,Qatar,Unspecified,31-12-2019,Unspecified,26-04-2020,Romero-Severson E. et al.
No,0.38,Unspecified,Unspecified,Unspecified,Qatar,Unspecified,Unspecified,16-04-2020,26-04-2020,Romero-Severson E. et al.
No,0.59,Unspecified,Unspecified,Unspecified,Romania,Unspecified,31-12-2019,Unspecified,26-04-2020,Romero-Severson E. et al.
No,0.03,Unspecified,Unspecified,Unspecified,Romania,Unspecified,Unspecified,16-04-2020,26-04-2020,Romero-Severson E. et al.
No,0.47,Unspecified,Unspecified,Unspecified,Russia,Unspecified,31-12-2019,Unspecified,26-04-2020,Romero-Severson E. et al.
No,0.32,Unspecified,Unspecified,Unspecified,Russia,Unspecified,Unspecified,16-04-2020,26-04-2020,Romero-Severson E. et al.
No,0.24,Unspecified,Unspecified,Unspecified,Saudi Arabia,Unspecified,31-12-2019,Unspecified,26-04-2020,Romero-Severson E. et al.
No,0.24,Unspecified,Unspecified,Unspecified,Saudi Arabia,Unspecified,Unspecified,16-04-2020,26-04-2020,Romero-Severson E. et al.
No,0.29,Unspecified,Unspecified,Unspecified,Serbia,Unspecified,31-12-2019,Unspecified,26-04-2020,Romero-Severson E. et al.
No,0.29,Unspecified,Unspecified,Unspecified,Serbia,Unspecified,Unspecified,16-04-2020,26-04-2020,Romero-Severson E. et al.
No,0.26,Unspecified,Unspecified,Unspecified,Singapore,Unspecified,31-12-2019,Unspecified,26-04-2020,Romero-Severson E. et al.
No,0.24,Unspecified,Unspecified,Unspecified,Singapore,Unspecified,Unspecified,16-04-2020,26-04-2020,Romero-Severson E. et al.
No,0.15,Unspecified,Unspecified,Unspecified,South Africa,Unspecified,31-12-2019,Unspecified,26-04-2020,Romero-Severson E. et al.
No,0.15,Unspecified,Unspecified,Unspecified,South Africa,Unspecified,Unspecified,16-04-2020,26-04-2020,Romero-Severson E. et al.
No,0.6,Unspecified,Unspecified,Unspecified,Spain,Unspecified,31-12-2019,Unspecified,26-04-2020,Romero-Severson E. et al.
No,0.01,Unspecified,Unspecified,Unspecified,Spain,Unspecified,Unspecified,16-04-2020,26-04-2020,Romero-Severson E. et al.
No,0.28,Unspecified,Unspecified,Unspecified,Sweden,Unspecified,31-12-2019,Unspecified,26-04-2020,Romero-Severson E. et al.
No,0.01,Unspecified,Unspecified,Unspecified,Sweden,Unspecified,Unspecified,16-04-2020,26-04-2020,Romero-Severson E. et al.
No,0.53,Unspecified,Unspecified,Unspecified,Switzerland,Unspecified,31-12-2019,Unspecified,26-04-2020,Romero-Severson E. et al.
No,0.01,Unspecified,Unspecified,Unspecified,Switzerland,Unspecified,Unspecified,16-04-2020,26-04-2020,Romero-Severson E. et al.
No,0.45,Unspecified,Unspecified,Unspecified,Thailand,Unspecified,31-12-2019,Unspecified,26-04-2020,Romero-Severson E. et al.
No,0.01,Unspecified,Unspecified,Unspecified,Thailand,Unspecified,Unspecified,16-04-2020,26-04-2020,Romero-Severson E. et al.
No,0.49,Unspecified,Unspecified,Unspecified,Turkey,Unspecified,31-12-2019,Unspecified,26-04-2020,Romero-Severson E. et al.
No,0.12,Unspecified,Unspecified,Unspecified,Turkey,Unspecified,Unspecified,16-04-2020,26-04-2020,Romero-Severson E. et al.
No,0.44,Unspecified,Unspecified,Unspecified,United Arab Emirates,Unspecified,31-12-2019,Unspecified,26-04-2020,Romero-Severson E. et al.
No,0.19,Unspecified,Unspecified,Unspecified,United Arab Emirates,Unspecified,Unspecified,16-04-2020,26-04-2020,Romero-Severson E. et al.
No,0.76,Unspecified,Unspecified,Unspecified,United Kingdom,Unspecified,31-12-2019,Unspecified,26-04-2020,Romero-Severson E. et al.
No,0.05,Unspecified,Unspecified,Unspecified,United Kingdom,Unspecified,Unspecified,16-04-2020,26-04-2020,Romero-Severson E. et al.
No,0.72,Unspecified,Unspecified,Unspecified,United States,Unspecified,31-12-2019,Unspecified,26-04-2020,Romero-Severson E. et al.
No,0.02,Unspecified,Unspecified,Unspecified,United States,Unspecified,Unspecified,16-04-2020,26-04-2020,Romero-Severson E. et al.
